group,task,cell,idx,origin,parents,val,parent_val,val_delta,mc_at_disc,prompt_chars,n_predictors
phase_a_qwen,hover,combine_all_budget_proportional_s0,0,seed,[None],0.27,,,0,290,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,1,reflect,[0],0.3466666666666667,0.27,0.07666666666666666,306,2342,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,2,reflect,[0],0.31666666666666665,0.27,0.046666666666666634,618,1723,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,3,reflect,[1],0.37,0.3466666666666667,0.023333333333333317,972,4100,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,4,reflect,[2],0.3333333333333333,0.31666666666666665,0.016666666666666663,1284,4650,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,5,reflect,[4],0.32666666666666666,0.3333333333333333,-0.006666666666666654,1647,6203,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,6,reflect,[2],0.36666666666666664,0.31666666666666665,0.04999999999999999,1983,3925,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,7,reflect,[3],0.38666666666666666,0.37,0.016666666666666663,2361,6137,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,8,merge,"[3, 5]",0.4033333333333333,0.37,0.033333333333333326,2666,10120,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,9,reflect,[1],0.37,0.3466666666666667,0.023333333333333317,3005,3982,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,10,merge,"[3, 6]",0.4066666666666667,0.37,0.03666666666666668,3310,7842,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,11,reflect,[6],0.41,0.36666666666666664,0.043333333333333335,3622,5887,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,12,merge,"[1, 6]",0.4033333333333333,0.36666666666666664,0.03666666666666668,3927,5977,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,13,reflect,[3],0.39,0.37,0.020000000000000018,4251,5821,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,14,reflect,[13],0.36,0.39,-0.030000000000000027,4562,8729,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,15,reflect,[7],0.38333333333333336,0.38666666666666666,-0.0033333333333332993,4894,7916,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,16,merge,"[1, 2]",0.37,0.3466666666666667,0.023333333333333317,5199,3775,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,17,reflect,[10],0.4066666666666667,0.4066666666666667,0.0,5505,8925,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,18,reflect,[4],0.33666666666666667,0.3333333333333333,0.003333333333333355,5846,7135,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,19,merge,"[9, 11]",0.4066666666666667,0.41,-0.0033333333333332993,6151,9780,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,20,reflect,[2],0.32,0.31666666666666665,0.003333333333333355,6595,3352,4
phase_a_qwen,hover,combine_all_budget_proportional_s0,21,merge,"[7, 11]",0.4166666666666667,0.41,0.00666666666666671,6900,11935,4
phase_a_qwen,hover,combine_all_immediate_s0,0,seed,[None],0.27,,,0,290,4
phase_a_qwen,hover,combine_all_immediate_s0,1,reflect,[0],0.3466666666666667,0.27,0.07666666666666666,306,2342,4
phase_a_qwen,hover,combine_all_immediate_s0,2,reflect,[0],0.31666666666666665,0.27,0.046666666666666634,618,1723,4
phase_a_qwen,hover,combine_all_immediate_s0,3,merge,"[1, 2]",0.37,0.3466666666666667,0.023333333333333317,923,3775,4
phase_a_qwen,hover,combine_all_immediate_s0,4,reflect,[1],0.37,0.3466666666666667,0.023333333333333317,1271,4100,4
phase_a_qwen,hover,combine_all_immediate_s0,5,merge,"[2, 4]",0.36333333333333334,0.37,-0.006666666666666654,1576,5640,4
phase_a_qwen,hover,combine_all_immediate_s0,6,reflect,[1],0.36333333333333334,0.3466666666666667,0.016666666666666663,1909,4779,4
phase_a_qwen,hover,combine_all_immediate_s0,7,merge,"[3, 6]",0.37666666666666665,0.37,0.006666666666666654,2214,6212,4
phase_a_qwen,hover,combine_all_immediate_s0,8,reflect,[2],0.34,0.31666666666666665,0.023333333333333373,2580,4066,4
