cell_id,model,dataset,algo,policy,use_merge,total_iters,n_attempts,n_accepted,acceptance_rate,first_merge_iter,last_merge_iter,mean_merge_iter,median_merge_iter,relative_first,relative_density,early_merge_count,early_merge_ratio,test_score,nomerge_baseline,lift_over_nomerge,severity_flag,run_dir
gpt-4.1-mini|hover|nomerge|nomerge,gpt-4.1-mini,hover,nomerge,nomerge,False,130,0,0,nan,nan,nan,nan,nan,nan,nan,0,nan,44.67,44.67,0.0,,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hover/nomerge_s0
gpt-4.1-mini|hover|summarize_before|immediate,gpt-4.1-mini,hover,summarize_before,immediate,True,106,7,6,0.8571428571428571,65,104,83.28571428571429,85.0,0.6132075471698113,0.0660377358490566,0,0.0,49.67,44.67,5.0,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hover/summarize_before_immediate_s0
gpt-4.1-mini|hover|combine_all|score_plateau,gpt-4.1-mini,hover,combine_all,score_plateau,True,124,6,4,0.6666666666666666,22,125,76,80.5,0.1774193548387097,0.04838709677419355,1,0.16666666666666666,49.0,44.67,4.329999999999998,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hover/combine_all_score_plateau_s0
gpt-4.1-mini|hover|combine_all|budget_proportional,gpt-4.1-mini,hover,combine_all,budget_proportional,True,103,9,5,0.5555555555555556,30,87,56.22222222222222,59.0,0.2912621359223301,0.08737864077669903,0,0.0,48.0,44.67,3.3299999999999983,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hover/combine_all_budget_proportional_s0
gpt-4.1-mini|hover|original|score_plateau,gpt-4.1-mini,hover,original,score_plateau,True,108,10,4,0.4,22,109,71,74.0,0.2037037037037037,0.09259259259259259,1,0.1,46.0,44.67,1.3299999999999983,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hover/original_score_plateau_s0
gpt-4.1-mini|hover|summarize_before|score_plateau,gpt-4.1-mini,hover,summarize_before,score_plateau,True,151,3,2,0.6666666666666666,108,139,125.66666666666667,130.0,0.7152317880794702,0.019867549668874173,0,0.0,46.67,44.67,2.0,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hover/summarize_before_score_plateau_s0
gpt-4.1-mini|hover|combine_all|immediate,gpt-4.1-mini,hover,combine_all,immediate,True,107,6,4,0.6666666666666666,76,106,91.16666666666667,91.5,0.7102803738317757,0.056074766355140186,0,0.0,46.33,44.67,1.6599999999999966,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hover/combine_all_immediate_s0
gpt-4.1-mini|hover|original|budget_proportional,gpt-4.1-mini,hover,original,budget_proportional,True,84,8,7,0.875,30,85,63.125,68.0,0.35714285714285715,0.09523809523809523,0,0.0,46.33,44.67,1.6599999999999966,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hover/original_budget_proportional_s0
gpt-4.1-mini|hover|summarize_before|budget_proportional,gpt-4.1-mini,hover,summarize_before,budget_proportional,True,117,8,7,0.875,45,118,80.375,75.0,0.38461538461538464,0.06837606837606838,0,0.0,48.67,44.67,4.0,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hover/summarize_before_budget_proportional_s0
gpt-4.1-mini|hover|original|immediate,gpt-4.1-mini,hover,original,immediate,True,88,6,6,1.0,42,85,63.833333333333336,64.0,0.4772727272727273,0.06818181818181818,0,0.0,47.33,44.67,2.6599999999999966,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hover/original_immediate_s0
gpt-4.1-mini|hotpotqa|nomerge|nomerge,gpt-4.1-mini,hotpotqa,nomerge,nomerge,False,191,0,0,nan,nan,nan,nan,nan,nan,nan,0,nan,59.67,59.67,0.0,,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hotpotqa/nomerge_s0
gpt-4.1-mini|hotpotqa|summarize_before|immediate,gpt-4.1-mini,hotpotqa,summarize_before,immediate,True,136,6,5,0.8333333333333334,60,137,97,85.0,0.4411764705882353,0.04411764705882353,0,0.0,53.67,59.67,-6.0,severe,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hotpotqa/summarize_before_immediate_s0
gpt-4.1-mini|hotpotqa|combine_all|score_plateau,gpt-4.1-mini,hotpotqa,combine_all,score_plateau,True,285,4,3,0.75,74,286,188.75,197.5,0.2596491228070175,0.014035087719298246,0,0.0,56.33,59.67,-3.3400000000000034,severe,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hotpotqa/combine_all_score_plateau_s0
gpt-4.1-mini|hotpotqa|combine_all|budget_proportional,gpt-4.1-mini,hotpotqa,combine_all,budget_proportional,True,194,5,5,1.0,74,191,135.4,128.0,0.38144329896907214,0.02577319587628866,0,0.0,57.33,59.67,-2.3400000000000034,bad,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hotpotqa/combine_all_budget_proportional_s0
gpt-4.1-mini|hotpotqa|original|score_plateau,gpt-4.1-mini,hotpotqa,original,score_plateau,True,181,4,4,1.0,74,182,122,116.0,0.4088397790055249,0.022099447513812154,0,0.0,54.67,59.67,-5.0,severe,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hotpotqa/original_score_plateau_s0
gpt-4.1-mini|hotpotqa|summarize_before|score_plateau,gpt-4.1-mini,hotpotqa,summarize_before,score_plateau,True,236,3,3,1.0,74,211,155,180.0,0.3135593220338983,0.012711864406779662,0,0.0,54.67,59.67,-5.0,severe,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hotpotqa/summarize_before_score_plateau_s0
gpt-4.1-mini|hotpotqa|combine_all|immediate,gpt-4.1-mini,hotpotqa,combine_all,immediate,True,120,6,5,0.8333333333333334,60,121,91.5,85.0,0.5,0.05,0,0.0,53.67,59.67,-6.0,severe,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hotpotqa/combine_all_immediate_s0
