run_dir,run_id,iteration,event,p1_idx,p2_idx,anc_idx,new_idx,lift_full_val,sentence_entropy,predictor_entropy,coverage_p1,coverage_p2,coverage_min,novelty_fraction,behavioral_delta_rate,length_delta_vs_anc_total,subsample_win,subsample_tie,subsample_loss,parent_gen_depth_p1,parent_gen_depth_p2,parent_gen_depth_max,is_merge_of_merge,noop_predictor_rate,snr_semantic_novelty_rate,slc_lost_count_p1,slc_lost_count_p2,slc_lost_count_max,n_merged_sentences,n_p1_sentences,n_p2_sentences,judge_clarity,judge_specificity,judge_internal_consistency,judge_coverage_vs_parents,judge_contradiction_present,judge_contradiction_span
P1_result/phase_a_main/hover/combine_all_budget_proportional_s0,combine_all_budget_proportional_s0,30,accepted,4,6,0,8,-0.0033333333333332993,0.8281291170623973,0.946394630357186,0.996875,0.7638888888888888,0.7638888888888888,0.004158004158004158,0.0,1081,0,5,0,2,2,2,False,0.5,0.0,0,0,0,62,39,28,5,5,5,5,False,
P1_result/phase_a_main/hover/combine_all_budget_proportional_s0,combine_all_budget_proportional_s0,33,rejected,4,9,2,,,0.9992411509393779,0.946394630357186,0.775,0.7638888888888888,0.7638888888888888,0.0,0.0,622,0,2,3,2,2,2,False,0.5,,,,,,,,,,,,,
P1_result/phase_a_main/hover/combine_all_budget_proportional_s0,combine_all_budget_proportional_s0,41,accepted,6,10,2,11,0.016666666666666663,0.8005229322499945,0.946394630357186,0.775,0.9978571428571429,0.775,0.005671077504725898,0.0,820,0,3,2,2,3,3,False,0.5,0.0,0,0,0,68,28,45,5,5,5,5,False,
P1_result/phase_a_main/hover/combine_all_budget_proportional_s0,combine_all_budget_proportional_s0,51,accepted,3,8,0,13,0.01666666666666672,0.6020286267840592,0.946394630357186,0.5295138888888888,0.7916666666666667,0.5295138888888888,0.0,0.2,1450,0,3,2,1,3,3,True,0.25,0.0,0,0,0,85,30,62,5,5,5,5,False,
P1_result/phase_a_main/hover/combine_all_budget_proportional_s0,combine_all_budget_proportional_s0,59,rejected,6,12,0,,,0.6740259453680312,0.946394630357186,0.5464285714285715,0.9978571428571429,0.5464285714285715,0.004709576138147566,0.0,1534,0,2,3,2,4,4,False,0.25,,,,,,,,,,,,,
P1_result/phase_a_main/hover/combine_all_budget_proportional_s0,combine_all_budget_proportional_s0,65,rejected,11,12,10,,,0.9526725081084443,0.946394630357186,0.7714285714285714,0.9978571428571429,0.7714285714285714,0.0,0.0,849,0,2,3,4,4,4,True,0.5,,,,,,,,,,,,,
P1_result/phase_a_main/hover/combine_all_budget_proportional_s0,combine_all_budget_proportional_s0,69,rejected,5,13,0,,,0.9577805281091832,0.946394630357186,0.7645356753812635,0.987390350877193,0.7645356753812635,0.0,0.0,1947,0,2,3,2,4,4,True,0.5,,,,,,,,,,,,,
P1_result/phase_a_main/hover/combine_all_budget_proportional_s0,combine_all_budget_proportional_s0,71,accepted,4,11,2,18,0.013333333333333364,0.6520764407838282,0.946394630357186,0.6391185592100557,0.7638888888888888,0.6391185592100557,0.0,0.0,1160,0,3,2,2,4,4,True,0.25,0.0,0,0,0,83,39,68,5,5,5,5,False,
P1_result/phase_a_main/hover/combine_all_budget_proportional_s0,combine_all_budget_proportional_s0,87,accepted,4,6,2,20,0.003333333333333355,0.8412118131443582,0.946394630357186,0.8573843050566838,0.7638888888888888,0.7638888888888888,0.0,0.0,462,0,4,1,2,2,2,False,0.5,0.0,0,0,0,44,39,28,5,5,5,5,False,
P1_result/phase_a_main/hover/combine_all_immediate_s0,combine_all_immediate_s0,76,rejected,3,10,0,,,0.7486426615339566,0.946394630357186,0.7666666666666667,0.7916666666666667,0.7666666666666667,0.0,0.0,775,0,2,3,1,1,1,False,0.5,,,,,,,,,,,,,
