model,dataset,algo,policy,event,run_dir,iteration,p1_idx,p2_idx,anc_idx,length_delta_vs_anc_total,sentence_entropy,predictor_entropy,coverage_min,coverage_p1,coverage_p2,novelty_fraction,behavioral_delta_rate,noop_predictor_rate,parent_gen_depth_max,subsample_win,subsample_tie,subsample_loss,snr_semantic_novelty_rate,slc_lost_count_max,n_merged_sentences,n_p1_sentences,n_p2_sentences,judge_clarity,judge_specificity,judge_internal_consistency,judge_coverage_vs_parents,judge_contradiction_present,selection_proxy_score
gpt-4.1-mini,hover,combine_all,budget_proportional,accepted,P1_result/phase_a_main/hover/combine_all_budget_proportional_s0,30,4,6,0,1081,0.8281291170623973,0.946394630357186,0.7638888888888888,0.996875,0.7638888888888888,0.004158004158004158,0.0,0.5,2,0,5,0,0.0,0,62,39,28,5,5,5,5,False,0.5
gpt-4.1-mini,hover,combine_all,budget_proportional,accepted,P1_result/phase_a_main/hover/combine_all_budget_proportional_s0,41,6,10,2,820,0.8005229322499945,0.946394630357186,0.775,0.775,0.9978571428571429,0.005671077504725898,0.0,0.5,3,0,3,2,0.0,0,68,28,45,5,5,5,5,False,0.3
gpt-4.1-mini,hover,combine_all,budget_proportional,accepted,P1_result/phase_a_main/hover/combine_all_budget_proportional_s0,51,3,8,0,1450,0.6020286267840592,0.946394630357186,0.5295138888888888,0.5295138888888888,0.7916666666666667,0.0,0.2,0.25,3,0,3,2,0.0,0,85,30,62,5,5,5,5,False,0.3
gpt-4.1-mini,hover,combine_all,budget_proportional,accepted,P1_result/phase_a_main/hover/combine_all_budget_proportional_s0,71,4,11,2,1160,0.6520764407838282,0.946394630357186,0.6391185592100557,0.6391185592100557,0.7638888888888888,0.0,0.0,0.25,4,0,3,2,0.0,0,83,39,68,5,5,5,5,False,0.3
gpt-4.1-mini,hover,combine_all,budget_proportional,accepted,P1_result/phase_a_main/hover/combine_all_budget_proportional_s0,87,4,6,2,462,0.8412118131443582,0.946394630357186,0.7638888888888888,0.8573843050566838,0.7638888888888888,0.0,0.0,0.5,2,0,4,1,0.0,0,44,39,28,5,5,5,5,False,0.4
gpt-4.1-mini,hover,combine_all,immediate,accepted,P1_result/phase_a_main/hover/combine_all_immediate_s0,78,7,10,0,1262,0.5961573195232226,0.946394630357186,0.575,0.7666666666666667,0.575,0.0,0.0,0.25,3,0,3,2,0.0,0,84,64,30,5,5,5,5,False,0.3
gpt-4.1-mini,hover,combine_all,immediate,accepted,P1_result/phase_a_main/hover/combine_all_immediate_s0,86,5,8,0,1416,0.6836910800668647,1.0,0.7638888888888888,0.7638888888888888,0.7685185185185185,0.003115264797507788,0.0,0.25,2,0,4,1,0.0,0,79,42,42,5,5,5,5,False,0.4
gpt-4.1-mini,hover,combine_all,immediate,accepted,P1_result/phase_a_main/hover/combine_all_immediate_s0,104,14,15,0,2202,0.9751428125903143,1.0,0.7638888888888888,0.7638888888888888,0.7672413793103449,0.0,0.2,0.25,3,1,2,2,0.0,0,108,71,79,5,5,5,5,False,0.4
gpt-4.1-mini,hover,combine_all,immediate,accepted,P1_result/phase_a_main/hover/combine_all_immediate_s0,106,9,18,2,3244,0.8534448034629721,0.946394630357186,0.7666003536693192,0.7666003536693192,1.0,0.0,0.0,0.5,4,0,4,1,0.0,0,144,101,108,5,5,5,5,False,0.4
gpt-4.1-mini,hover,combine_all,score_plateau,accepted,P1_result/phase_a_main/hover/combine_all_score_plateau_s0,38,4,5,0,1509,0.7930204643873782,1.0,0.765625,0.7907268170426065,0.765625,0.0030120481927710845,0.0,0.25,2,0,3,2,0.0,0,92,39,59,5,5,5,5,False,0.3
