metric,n_a,n_b,med_a,med_b,mean_a,mean_b,delta_med,cohens_d,d_ci_low,d_ci_high,cliffs_delta,u_stat,p_value
length_delta_vs_anc_total,52,52,1090.0,1165.5,1363.4615384615386,1166.1346153846155,75.5,0.20916155703284503,-0.24737455734106625,0.4944601755203591,-0.01220414201183432,1335.5,0.9171527410338315
coverage_min,52,52,0.7649286987522281,0.7658770161290323,0.7003533427904121,0.7020002667261669,0.0009483173768041198,-0.010845584826860965,-0.40644660670221205,0.3690110530752441,-0.019230769230769232,1326.0,0.8683183980664148
coverage_p1,52,52,0.7921808048346672,0.7699126394438894,0.8038415181783573,0.7280415609000319,-0.022268165390777805,0.45629082690873457,0.07817895797169581,0.874064671897878,0.23113905325443787,1664.5,0.04226443887544103
coverage_p2,52,52,0.8052083333333333,0.8117377112135176,0.8229848352881816,0.8501459723597128,0.006529377880184262,-0.17605947309493483,-0.5580453012293503,0.19939567532965838,-0.02440828402366864,1319.0,0.8313041471621562
sentence_entropy,52,52,0.801933331842884,0.8056827356135876,0.7657331156047953,0.8107014485054292,0.003749403770703652,-0.25430555512613356,-0.5847056257762484,0.14680861219207458,-0.0040680473372781065,1346.5,0.9740682390708875
predictor_entropy,52,52,0.946394630357186,0.946394630357186,0.84329563244468,0.9281523073968161,0.0,-0.35374144870342705,-0.6426195373223678,-0.0027101603498233097,0.07470414201183433,1453.0,0.43033433952524547
novelty_fraction,52,52,0.0,0.0,0.0015581081643968862,0.001174248980987993,0.0,0.1463927972116589,-0.21954694899040875,0.6271636116781837,0.1309171597633136,1529.0,0.14665470271947428
noop_predictor_rate,52,52,0.5,0.25,0.32211538461538464,0.3125,-0.25,0.04839561422757072,-0.33842663635153236,0.43779560117968497,0.04807692307692308,1417.0,0.6514163113176457
parent_gen_depth_max,52,52,3.0,3.0,3.1153846153846154,3.3653846153846154,0.0,-0.1689398714187152,-0.5656812793466468,0.2154965239801196,-0.09356508875739646,1225.5,0.39350071472584813
snr_semantic_novelty_rate,52,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352.0,1.0
slc_lost_count_max,52,52,0.0,0.0,1.3846153846153846,0.7307692307692307,0.0,0.2394501251491954,-0.1502738543502434,0.5226825833884391,0.04585798816568047,1414.0,0.5988645642557506
judge_clarity,52,52,5.0,5.0,4.903846153846154,5.0,0.0,-0.4568088269932881,-0.6407453173588971,-0.19611613513818332,-0.09615384615384616,1222.0,0.023085212867916805
judge_specificity,52,52,5.0,5.0,4.903846153846154,5.0,0.0,-0.4568088269932881,-0.6407453173588971,-0.19611613513818332,-0.09615384615384616,1222.0,0.023085212867916805
judge_internal_consistency,52,52,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1352.0,1.0
judge_coverage_vs_parents,52,52,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1352.0,1.0
judge_contradiction_present,52,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352.0,1.0
selection_proxy_score,52,52,0.3,0.2,0.3423076923076923,0.1865384615384615,-0.09999999999999998,2.6687282730820003,2.296445413777899,3.1562881862226555,0.9389792899408284,2621.5,4.803515640711674e-18
