metric,n_a,n_b,med_a,med_b,mean_a,mean_b,delta_med,cohens_d,d_ci_low,d_ci_high,cliffs_delta,u_stat,p_value
length_delta_vs_anc_total,213,52,1134.0,1165.5,1272.3896713615025,1166.1346153846155,31.5,0.12153023599962992,-0.1098784971508813,0.3004275463755716,0.0039725532683279165,5560.0,0.9653895171384126
coverage_min,213,52,0.7202951824004455,0.7658770161290323,0.6799415761101776,0.7020002667261669,0.04558183372858671,-0.1406193673160433,-0.4106202573337996,0.1609040147129337,-0.06834597327555074,5159.5,0.44552015438847536
coverage_p1,213,52,0.7947114138130472,0.7699126394438894,0.7718853183583773,0.7280415609000319,-0.024798774369157783,0.2515858401053323,-0.01549784893846659,0.5446316273845027,0.16928494041170097,6475.5,0.05811402021276985
coverage_p2,213,52,0.8020833333333334,0.8117377112135176,0.8202864451356435,0.8501459723597128,0.009654377880184195,-0.17642878784428329,-0.41286592913542547,0.06086796014207432,-0.03485012639942217,5345.0,0.6940210518848361
sentence_entropy,213,52,0.8130474783783602,0.8056827356135876,0.7732234407226465,0.8107014485054292,-0.007364742764772614,-0.20207723030875127,-0.40885395612547876,0.022772563371217212,-0.03169014084507042,5362.5,0.7239511973154198
predictor_entropy,213,52,0.946394630357186,0.946394630357186,0.8820526503331131,0.9281523073968161,0.0,-0.20597370853071717,-0.36614213103862764,0.04021660608829302,0.029974720115565186,5704.0,0.697551677718983
novelty_fraction,213,52,0.0,0.0,0.0010865084501701,0.001174248980987993,0.0,-0.03701543798559776,-0.3886456908822348,0.29851510830638356,0.014174792343806428,5616.5,0.8299211187765209
noop_predictor_rate,213,52,0.25,0.25,0.30985915492957744,0.3125,0.0,-0.013520441524039504,-0.2851609524838662,0.2805048544698208,-0.0008125677139761647,5533.5,0.993086358015318
parent_gen_depth_max,213,52,3.0,3.0,3.436619718309859,3.3653846153846154,0.0,0.048368470516006457,-0.27003037236949273,0.35701009371494136,0.03485012639942217,5731.0,0.6892404367387028
snr_semantic_novelty_rate,213,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5538.0,1.0
slc_lost_count_max,213,52,0.0,0.0,1.7793427230046948,0.7307692307692307,0.0,0.31960794177772345,0.128642867673276,0.48115785028480484,0.13768508486818345,6300.5,0.06624512191936652
judge_clarity,213,52,5.0,5.0,4.962441314553991,5.0,0.0,-0.21951092280506931,-0.2947308198398079,-0.13281253082218847,-0.03755868544600939,5330.0,0.15765106567328946
judge_specificity,213,52,5.0,5.0,4.967136150234742,5.0,0.0,-0.20483467745636819,-0.27150677230085296,-0.13281253082218847,-0.03286384976525822,5356.0,0.18725700123927902
judge_internal_consistency,213,52,5.0,5.0,4.995305164319249,5.0,0.0,-0.0763167982706952,-0.15372514987492708,-0.0763167982706952,-0.004694835680751174,5512.0,0.6279638402747028
judge_coverage_vs_parents,213,52,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5538.0,1.0
judge_contradiction_present,213,52,0.0,0.0,0.004694835680751174,0.0,0.0,0.07631679827069769,0.07631679827069769,0.15372514987492486,0.004694835680751174,5564.0,0.6279638402747028
selection_proxy_score,213,52,0.3,0.2,0.3427230046948355,0.1865384615384615,-0.09999999999999998,2.4815569913391644,2.2088403652408797,2.7781250271808564,0.936800288912965,10726.0,9.36948345062154e-31
