model,dataset,algo,policy,event,run_dir,iteration,p1_idx,p2_idx,anc_idx,length_delta_vs_anc_total,sentence_entropy,predictor_entropy,coverage_min,coverage_p1,coverage_p2,novelty_fraction,behavioral_delta_rate,noop_predictor_rate,parent_gen_depth_max,subsample_win,subsample_tie,subsample_loss,snr_semantic_novelty_rate,slc_lost_count_max,n_merged_sentences,n_p1_sentences,n_p2_sentences,judge_clarity,judge_specificity,judge_internal_consistency,judge_coverage_vs_parents,judge_contradiction_present,selection_proxy_score
gpt-4.1-mini,hover,combine_all,score_plateau,rejected,P1_result/phase_a_main/hover/combine_all_score_plateau_s0,22,3,4,0,1012,0.6772167064445875,0.946394630357186,0.5295138888888888,0.5295138888888888,0.7916666666666667,0.0,0.0,0.25,2,0,1,4,0.0,0,62,30,39,5,5,5,5,False,0.1
gpt-4.1-mini,hover,combine_all,score_plateau,rejected,P1_result/phase_a_main/hover/combine_all_score_plateau_s0,103,3,6,0,794,0.7511050212929523,0.946394630357186,0.7651515151515151,0.7651515151515151,0.7916666666666667,0.0,0.0,0.5,2,0,2,3,0.0,0,52,30,28,5,5,5,5,False,0.2
gpt-4.1-mini,hover,combine_all,budget_proportional,rejected,P1_result/phase_a_main/hover/combine_all_budget_proportional_s0,33,4,9,2,622,0.9992411509393779,0.946394630357186,0.7638888888888888,0.775,0.7638888888888888,0.0,0.0,0.5,2,0,2,3,0.0,0,55,39,40,5,5,5,5,False,0.2
gpt-4.1-mini,hover,combine_all,budget_proportional,rejected,P1_result/phase_a_main/hover/combine_all_budget_proportional_s0,59,6,12,0,1534,0.6740259453680312,0.946394630357186,0.5464285714285715,0.5464285714285715,0.9978571428571429,0.004709576138147566,0.0,0.25,4,0,2,3,0.0,0,88,28,65,5,5,5,5,False,0.2
gpt-4.1-mini,hover,combine_all,budget_proportional,rejected,P1_result/phase_a_main/hover/combine_all_budget_proportional_s0,65,11,12,10,849,0.9526725081084443,0.946394630357186,0.7714285714285714,0.7714285714285714,0.9978571428571429,0.0,0.0,0.5,4,0,2,3,0.0,0,88,68,65,5,5,5,5,False,0.2
gpt-4.1-mini,hover,combine_all,budget_proportional,rejected,P1_result/phase_a_main/hover/combine_all_budget_proportional_s0,69,5,13,0,1947,0.9577805281091832,0.946394630357186,0.7645356753812635,0.7645356753812635,0.987390350877193,0.0,0.0,0.5,4,0,2,3,0.0,1,114,59,85,5,5,5,5,False,0.2
gpt-4.1-mini,hover,original,score_plateau,rejected,P1_result/phase_a_main/hover/original_score_plateau_s0,22,3,4,0,1012,0.6772167064445875,0.946394630357186,0.5295138888888888,0.5295138888888888,0.7916666666666667,0.0,0.0,0.25,2,0,1,4,0.0,0,62,30,39,5,5,5,5,False,0.1
gpt-4.1-mini,hover,original,score_plateau,rejected,P1_result/phase_a_main/hover/original_score_plateau_s0,38,4,5,0,1157,0.6703075011115167,0.946394630357186,0.6173886766830756,0.6173886766830756,0.765625,0.0,0.0,0.25,2,0,2,3,0.0,2,76,39,59,5,5,5,5,False,0.2
gpt-4.1-mini,hover,original,score_plateau,rejected,P1_result/phase_a_main/hover/original_score_plateau_s0,63,9,10,0,1077,0.6285417682855349,0.946394630357186,0.5874078965488838,0.5874078965488838,0.7638888888888888,0.0,0.0,0.25,3,0,2,3,0.0,0,69,44,54,5,5,5,5,False,0.2
gpt-4.1-mini,hover,original,score_plateau,rejected,P1_result/phase_a_main/hover/original_score_plateau_s0,73,3,9,0,1134,0.6628061327333954,0.946394630357186,0.529040404040404,0.529040404040404,0.7916666666666667,0.0,0.0,0.25,3,0,1,4,0.0,0,67,30,44,5,5,5,5,False,0.1
gpt-4.1-mini,hover,original,score_plateau,rejected,P1_result/phase_a_main/hover/original_score_plateau_s0,75,4,8,0,1147,0.6852013686017301,0.946394630357186,0.5295138888888888,0.7777777777777778,0.5295138888888888,0.0,0.2,0.25,2,0,2,3,0.0,0,73,39,41,5,5,5,5,False,0.2
gpt-4.1-mini,hover,original,score_plateau,rejected,P1_result/phase_a_main/hover/original_score_plateau_s0,97,5,12,0,1434,0.7214413200951841,0.946394630357186,0.6173886766830756,0.7678571428571429,0.6173886766830756,0.0,0.0,0.25,3,0,1,4,0.0,2,86,59,49,5,5,5,5,False,0.1
gpt-4.1-mini,hover,combine_all,immediate,rejected,P1_result/phase_a_main/hover/combine_all_immediate_s0,76,3,10,0,775,0.7486426615339566,0.946394630357186,0.7666666666666667,0.7666666666666667,0.7916666666666667,0.0,0.0,0.5,1,0,2,3,0.0,0,50,30,30,5,5,5,5,False,0.2
gpt-4.1-mini,hover,combine_all,immediate,rejected,P1_result/phase_a_main/hover/combine_all_immediate_s0,97,3,11,0,1450,0.604990321412571,0.946394630357186,0.5513392857142857,0.5513392857142857,0.99765625,0.0031746031746031746,0.0,0.25,3,0,1,4,0.0,0,84,30,62,5,5,5,5,False,0.1
gpt-4.1-mini,hover,original,budget_proportional,rejected,P1_result/phase_a_main/hover/original_budget_proportional_s0,76,5,17,0,1197,0.7470409262400355,0.946394630357186,0.5732157205789422,0.5732157205789422,0.7916666666666667,0.0,0.0,0.25,4,0,1,4,0.0,4,74,59,51,5,5,5,5,False,0.1
gpt-4.1-mini,hotpotqa,combine_all,score_plateau,rejected,P2_result/phase_a_main/hotpotqa/combine_all_score_plateau_s0,215,12,15,9,900,0.7516990936588919,0.946394630357186,0.8344567315568396,0.8344567315568396,0.9988682631522554,0.0,0.0,0.25,7,0,2,3,0.0,0,163,154,137,5,5,5,5,False,0.2
gpt-4.1-mini,hotpotqa,combine_all,immediate,rejected,P2_result/phase_a_main/hotpotqa/combine_all_immediate_s0,81,8,12,0,1416,0.7537153483720096,0.8112781244591328,0.3811588738059326,0.3811588738059326,0.7708333333333334,0.0,0.0,0.0,3,0,2,3,0.0,0,84,24,67,5,5,5,5,False,0.2
gpt-4.1-mini,hotpotqa,original,budget_proportional,rejected,P2_result/phase_a_main/hotpotqa/original_budget_proportional_s0,81,8,9,4,799,0.9029878147293358,0.946394630357186,0.6712581174150078,0.6712581174150078,0.8265151215300288,0.0,0.0,0.25,5,0,2,3,0.0,3,75,72,77,5,5,5,5,False,0.2
gpt-4.1-mini,hotpotqa,original,immediate,rejected,P2_result/phase_a_main/hotpotqa/original_immediate_s0,81,8,12,0,1416,0.7537153483720096,0.8112781244591328,0.3811588738059326,0.3811588738059326,0.7708333333333334,0.0,0.0,0.0,3,0,2,3,0.0,0,84,24,67,5,5,5,5,False,0.2
gpt-4.1-mini,ifbench,combine_all,budget_proportional,rejected,P2_result/phase_a_main/ifbench/combine_all_budget_proportional_s0,13,1,4,0,1174,0.7951887508706817,1.0,0.5950292397660819,0.5950292397660819,0.9967532467532467,0.0049586776859504135,0.2,0.0,3,1,1,3,0.0,0,71,27,50,5,5,5,5,False,0.3
gpt-4.1-mini,ifbench,original,score_plateau,rejected,P2_result/phase_a_main/ifbench/original_score_plateau_s0,51,7,8,0,823,0.6547383784864688,1.0,0.5546256852824413,0.5546256852824413,0.592032967032967,0.0,0.0,0.0,3,0,3,2,0.0,3,51,54,20,5,5,5,5,False,0.3
gpt-4.1-mini,ifbench,combine_all,immediate,rejected,P2_result/phase_a_main/ifbench/combine_all_immediate_s0,25,1,6,0,1220,0.7580912561604578,1.0,0.5880541871921182,0.5880541871921182,0.9975,0.004909983633387889,0.0,0.0,3,0,3,2,0.0,0,81,27,60,5,5,5,5,False,0.3
gpt-4.1-mini,ifbench,original,immediate,rejected,P2_result/phase_a_main/ifbench/original_immediate_s0,47,4,9,2,433,0.5665095065529053,0.0,0.2909980559415227,0.2909980559415227,1.0,0.0,0.0,0.0,5,0,3,2,0.0,3,55,55,55,5,5,5,5,False,0.3
qwen3-8b,hover,combine_all,score_plateau,rejected,P3_result/phase_a_main/hover/combine_all_score_plateau_s0,32,3,6,0,1178,0.8565149457097293,1.0,0.7786061977238448,0.8571428571428571,0.7786061977238448,0.0047169811320754715,0.0,0.25,2,0,1,4,0.0,0,65,36,35,5,5,5,5,False,0.1
qwen3-8b,hover,combine_all,budget_proportional,rejected,P3_result/phase_a_main/hover/combine_all_budget_proportional_s0,61,10,13,1,1407,0.9244197541306024,0.946394630357186,0.8571428571428571,1.0,0.8571428571428571,0.0,0.0,0.5,3,0,2,3,0.0,0,83,65,48,5,5,5,5,False,0.2
qwen3-8b,hover,combine_all,budget_proportional,rejected,P3_result/phase_a_main/hover/combine_all_budget_proportional_s0,63,7,8,3,1238,0.8990048269515363,0.946394630357186,0.9987980769230769,0.9987980769230769,1.0,0.0,0.0,0.5,4,0,2,3,0.0,0,111,53,95,5,5,5,5,False,0.2
qwen3-8b,hover,combine_all,budget_proportional,rejected,P3_result/phase_a_main/hover/combine_all_budget_proportional_s0,71,6,7,0,1484,0.7623116706085756,0.946394630357186,0.6015228643905115,0.6015228643905115,0.8571428571428571,0.003992015968063872,0.0,0.0,3,0,2,3,0.0,0,82,35,53,5,5,5,5,False,0.2
qwen3-8b,hover,combine_all,immediate,rejected,P3_result/phase_a_main/hover/combine_all_immediate_s0,32,1,8,0,882,0.650322297583246,0.946394630357186,0.6102693602693603,0.6102693602693603,0.7803030303030303,0.0,0.0,0.25,2,0,2,3,0.0,0,54,23,39,5,5,5,5,False,0.2
qwen3-8b,hover,combine_all,immediate,rejected,P3_result/phase_a_main/hover/combine_all_immediate_s0,55,4,11,0,1400,0.9085790444211627,0.946394630357186,0.8214798850574713,0.8214798850574713,1.0,0.005859375,0.0,0.5,3,0,1,4,0.0,0,78,36,66,5,5,5,5,False,0.1
qwen3-8b,hover,combine_all,immediate,rejected,P3_result/phase_a_main/hover/combine_all_immediate_s0,62,4,7,0,1205,0.9445064978785985,0.946394630357186,0.8214798850574713,0.8214798850574713,1.0,0.0045045045045045045,0.0,0.5,3,0,2,3,0.0,0,67,36,55,5,5,5,5,False,0.2
qwen3-8b,hover,original,budget_proportional,rejected,P3_result/phase_a_main/hover/original_budget_proportional_s0,63,10,11,6,368,0.9644525831766092,0.946394630357186,0.8426465980044392,0.8455729468694474,0.8426465980044392,0.0,0.0,0.5,3,0,2,3,0.0,1,54,55,52,5,5,5,5,False,0.2
qwen3-8b,hover,original,budget_proportional,rejected,P3_result/phase_a_main/hover/original_budget_proportional_s0,100,4,14,0,938,0.9085913249182463,0.946394630357186,0.8064516129032258,0.9613204061733474,0.8064516129032258,0.0,0.0,0.5,2,0,2,3,0.0,0,59,45,30,5,5,5,5,False,0.2
qwen3-8b,hover,original,budget_proportional,rejected,P3_result/phase_a_main/hover/original_budget_proportional_s0,137,11,17,0,939,0.7780985600482113,0.946394630357186,0.7027158040123045,0.8431631121397608,0.7027158040123045,0.0,0.0,0.25,3,0,2,3,0.0,0,52,52,35,5,5,5,5,False,0.2
qwen3-8b,hover,original,immediate,rejected,P3_result/phase_a_main/hover/original_immediate_s0,93,7,16,6,326,0.8385236246747336,0.946394630357186,0.8218731439070346,0.8218731439070346,0.9236566440011833,0.0,0.0,0.5,7,0,2,3,0.0,6,50,58,58,5,5,5,5,False,0.2
qwen3-8b,ifbench,combine_all,immediate,rejected,P3_result/phase_a_main/ifbench/combine_all_immediate_s0,27,2,4,0,328,0.889595191167314,1.0,0.9375,0.9375,1.0,0.017142857142857144,0.0,0.0,2,0,3,2,0.0,0,20,8,15,5,5,5,5,False,0.3
qwen3-8b,hotpotqa,combine_all,score_plateau,rejected,P4_result/phase_a_main/hotpotqa/combine_all_score_plateau_s0,45,3,6,0,1260,0.9362877152340485,0.946394630357186,0.7946428571428571,0.8043478260869565,0.7946428571428571,0.0,0.0,0.5,3,0,2,3,0.0,0,76,52,63,5,5,5,5,False,0.2
qwen3-8b,hotpotqa,combine_all,budget_proportional,rejected,P4_result/phase_a_main/hotpotqa/combine_all_budget_proportional_s0,119,9,10,8,1050,0.8943426462690938,0.946394630357186,0.8170238095238095,1.0,0.8170238095238095,0.004098360655737705,0.0,0.5,3,0,2,3,0.0,0,80,66,35,5,5,5,5,False,0.2
qwen3-8b,hotpotqa,original,score_plateau,rejected,P4_result/phase_a_main/hotpotqa/original_score_plateau_s0,45,3,6,0,1260,0.9362877152340485,0.946394630357186,0.7946428571428571,0.8043478260869565,0.7946428571428571,0.0,0.0,0.5,3,0,2,3,0.0,0,76,52,63,5,5,5,5,False,0.2
qwen3-8b,hotpotqa,combine_all,immediate,rejected,P4_result/phase_a_main/hotpotqa/combine_all_immediate_s0,176,7,9,3,1361,0.9638476427733654,0.946394630357186,0.7970769230769231,0.7970769230769231,1.0,0.0,0.0,0.25,6,0,2,3,0.0,0,123,72,122,5,5,5,5,False,0.2
qwen3-8b,hotpotqa,combine_all,immediate,rejected,P4_result/phase_a_main/hotpotqa/combine_all_immediate_s0,230,7,12,0,3387,0.6442153439902908,0.946394630357186,0.7980769230769231,0.7980769230769231,0.9998713991769548,0.0,0.0,0.25,7,0,1,4,0.0,0,156,72,155,5,5,5,5,False,0.1
